"","x.sorted","tp","fp","tn","fn","tpr","tnr","fpr","fnr"
"1",-Inf,0,0,154,62,0,1,0,1
"2",-0.568053703457768,1,0,154,61,0.0161290322580645,1,0,0.983870967741935
"3",-0.557934850542811,2,0,154,60,0.032258064516129,1,0,0.967741935483871
"4",-0.555520594831608,3,0,154,59,0.0483870967741935,1,0,0.951612903225806
"5",-0.555365189477719,3,1,153,59,0.0483870967741935,0.993506493506494,0.00649350649350644,0.951612903225806
"6",-0.555316917951897,3,2,152,59,0.0483870967741935,0.987012987012987,0.012987012987013,0.951612903225806
"7",-0.553000266954138,4,2,152,58,0.0645161290322581,0.987012987012987,0.012987012987013,0.935483870967742
"8",-0.55229401383755,4,3,151,58,0.0645161290322581,0.980519480519481,0.0194805194805194,0.935483870967742
"9",-0.551506961068844,5,3,151,57,0.0806451612903226,0.980519480519481,0.0194805194805194,0.919354838709677
"10",-0.551401394478195,6,3,151,56,0.0967741935483871,0.980519480519481,0.0194805194805194,0.903225806451613
"11",-0.550826058768943,6,4,150,56,0.0967741935483871,0.974025974025974,0.025974025974026,0.903225806451613
"12",-0.550594001533819,6,5,149,56,0.0967741935483871,0.967532467532468,0.0324675324675324,0.903225806451613
"13",-0.549877274451415,7,5,149,55,0.112903225806452,0.967532467532468,0.0324675324675324,0.887096774193548
"14",-0.548857097831047,7,6,148,55,0.112903225806452,0.961038961038961,0.038961038961039,0.887096774193548
"15",-0.548855381180477,7,7,147,55,0.112903225806452,0.954545454545455,0.0454545454545454,0.887096774193548
"16",-0.548586543068095,8,7,147,54,0.129032258064516,0.954545454545455,0.0454545454545454,0.870967741935484
"17",-0.548529313179642,8,8,146,54,0.129032258064516,0.948051948051948,0.051948051948052,0.870967741935484
"18",-0.548406287962107,8,9,145,54,0.129032258064516,0.941558441558442,0.0584415584415584,0.870967741935484
"19",-0.548323338836664,8,10,144,54,0.129032258064516,0.935064935064935,0.064935064935065,0.870967741935484
"20",-0.547741056673471,8,11,143,54,0.129032258064516,0.928571428571429,0.0714285714285714,0.870967741935484
"21",-0.547679963998606,8,12,142,54,0.129032258064516,0.922077922077922,0.0779220779220779,0.870967741935484
"22",-0.547235159439943,9,12,142,53,0.145161290322581,0.922077922077922,0.0779220779220779,0.854838709677419
"23",-0.547216984538108,9,13,141,53,0.145161290322581,0.915584415584416,0.0844155844155844,0.854838709677419
"24",-0.545925495668532,9,14,140,53,0.145161290322581,0.909090909090909,0.0909090909090909,0.854838709677419
