"","x.sorted","tp","fp","tn","fn","tpr","tnr","fpr","fnr"
"1",-Inf,0,0,154,26,0,1,0,1
"2",0.34933894285801,1,0,154,25,0.0384615384615385,1,0,0.961538461538462
"3",0.356055624476875,2,0,154,24,0.0769230769230769,1,0,0.923076923076923
"4",0.356680740918741,2,1,153,24,0.0769230769230769,0.993506493506494,0.00649350649350644,0.923076923076923
"5",0.35901960032235,3,1,153,23,0.115384615384615,0.993506493506494,0.00649350649350644,0.884615384615385
"6",0.359354302060828,4,1,153,22,0.153846153846154,0.993506493506494,0.00649350649350644,0.846153846153846
"7",0.359495233737674,5,1,153,21,0.192307692307692,0.993506493506494,0.00649350649350644,0.807692307692308
"8",0.359822627981233,5,2,152,21,0.192307692307692,0.987012987012987,0.012987012987013,0.807692307692308
"9",0.361098155025014,6,2,152,20,0.230769230769231,0.987012987012987,0.012987012987013,0.769230769230769
"10",0.361940869025647,7,2,152,19,0.269230769230769,0.987012987012987,0.012987012987013,0.730769230769231
"11",0.364856139368622,8,2,152,18,0.307692307692308,0.987012987012987,0.012987012987013,0.692307692307692
"12",0.365768055688423,9,2,152,17,0.346153846153846,0.987012987012987,0.012987012987013,0.653846153846154
"13",0.367218641026253,9,3,151,17,0.346153846153846,0.980519480519481,0.0194805194805194,0.653846153846154
"14",0.367228689522255,9,4,150,17,0.346153846153846,0.974025974025974,0.025974025974026,0.653846153846154
"15",0.367415491891585,9,5,149,17,0.346153846153846,0.967532467532468,0.0324675324675324,0.653846153846154
"16",0.3685726145014,9,6,148,17,0.346153846153846,0.961038961038961,0.038961038961039,0.653846153846154
"17",0.368800995137725,9,7,147,17,0.346153846153846,0.954545454545455,0.0454545454545454,0.653846153846154
"18",0.371323643304995,9,8,146,17,0.346153846153846,0.948051948051948,0.051948051948052,0.653846153846154
"19",0.372456137361737,9,9,145,17,0.346153846153846,0.941558441558442,0.0584415584415584,0.653846153846154
"20",0.372552783820983,10,9,145,16,0.384615384615385,0.941558441558442,0.0584415584415584,0.615384615384615
"21",0.372738792036744,11,9,145,15,0.423076923076923,0.941558441558442,0.0584415584415584,0.576923076923077
"22",0.372765762624404,12,9,145,14,0.461538461538462,0.941558441558442,0.0584415584415584,0.538461538461538
"23",0.373116838783465,12,10,144,14,0.461538461538462,0.935064935064935,0.064935064935065,0.538461538461538
"24",0.375486591457593,12,11,143,14,0.461538461538462,0.928571428571429,0.0714285714285714,0.538461538461538
"25",0.376085369806447,12,12,142,14,0.461538461538462,0.922077922077922,0.0779220779220779,0.538461538461538
"26",0.376469619407964,12,13,141,14,0.461538461538462,0.915584415584416,0.0844155844155844,0.538461538461538
"27",0.376657098708304,12,14,140,14,0.461538461538462,0.909090909090909,0.0909090909090909,0.538461538461538
"28",0.376862168034307,12,15,139,14,0.461538461538462,0.902597402597403,0.0974025974025974,0.538461538461538
"29",0.376906363439134,13,15,139,13,0.5,0.902597402597403,0.0974025974025974,0.5
"30",0.377314398385405,14,15,139,12,0.538461538461538,0.902597402597403,0.0974025974025974,0.461538461538462
"31",0.377675271698134,15,15,139,11,0.576923076923077,0.902597402597403,0.0974025974025974,0.423076923076923
"32",0.37807728511441,16,15,139,10,0.615384615384615,0.902597402597403,0.0974025974025974,0.384615384615385
"33",0.378428074462476,16,16,138,10,0.615384615384615,0.896103896103896,0.103896103896104,0.384615384615385
"34",0.37896667561668,16,17,137,10,0.615384615384615,0.88961038961039,0.11038961038961,0.384615384615385
"35",0.37919009577294,16,18,136,10,0.615384615384615,0.883116883116883,0.116883116883117,0.384615384615385
"36",0.37963874688607,16,19,135,10,0.615384615384615,0.876623376623377,0.123376623376623,0.384615384615385
"37",0.379889299525835,16,20,134,10,0.615384615384615,0.87012987012987,0.12987012987013,0.384615384615385
"38",0.380525981001908,16,21,133,10,0.615384615384615,0.863636363636364,0.136363636363636,0.384615384615385
"39",0.381230214701422,16,22,132,10,0.615384615384615,0.857142857142857,0.142857142857143,0.384615384615385
"40",0.381845691316147,16,23,131,10,0.615384615384615,0.850649350649351,0.149350649350649,0.384615384615385
"41",0.382119149602097,16,24,130,10,0.615384615384615,0.844155844155844,0.155844155844156,0.384615384615385
"42",0.382147354796517,16,25,129,10,0.615384615384615,0.837662337662338,0.162337662337662,0.384615384615385
"43",0.382590174782735,17,25,129,9,0.653846153846154,0.837662337662338,0.162337662337662,0.346153846153846
"44",0.382629371019967,17,26,128,9,0.653846153846154,0.831168831168831,0.168831168831169,0.346153846153846
"45",0.383278123448662,17,27,127,9,0.653846153846154,0.824675324675325,0.175324675324675,0.346153846153846
"46",0.383308592427637,17,28,126,9,0.653846153846154,0.818181818181818,0.181818181818182,0.346153846153846
"47",0.383401530657044,17,29,125,9,0.653846153846154,0.811688311688312,0.188311688311688,0.346153846153846
"48",0.383840086682658,17,30,124,9,0.653846153846154,0.805194805194805,0.194805194805195,0.346153846153846
"49",0.384070412344245,17,31,123,9,0.653846153846154,0.798701298701299,0.201298701298701,0.346153846153846
"50",0.384194086129252,17,32,122,9,0.653846153846154,0.792207792207792,0.207792207792208,0.346153846153846
"51",0.38488954144275,18,32,122,8,0.692307692307692,0.792207792207792,0.207792207792208,0.307692307692308
"52",0.385000025578199,18,33,121,8,0.692307692307692,0.785714285714286,0.214285714285714,0.307692307692308
"53",0.38510476578009,18,34,120,8,0.692307692307692,0.779220779220779,0.220779220779221,0.307692307692308
"54",0.385111204832646,19,34,120,7,0.730769230769231,0.779220779220779,0.220779220779221,0.269230769230769
