"","x.sorted","tp","fp","tn","fn","tpr","tnr","fpr","fnr"
"1",-Inf,0,0,154,26,0,1,0,1
"2",-0.570565523223236,1,0,154,25,0.0384615384615385,1,0,0.961538461538462
"3",-0.567997253077563,2,0,154,24,0.0769230769230769,1,0,0.923076923076923
"4",-0.566061745300082,3,0,154,23,0.115384615384615,1,0,0.884615384615385
"5",-0.564622514956122,4,0,154,22,0.153846153846154,1,0,0.846153846153846
"6",-0.563079253926612,5,0,154,21,0.192307692307692,1,0,0.807692307692308
"7",-0.561821483369706,6,0,154,20,0.230769230769231,1,0,0.769230769230769
"8",-0.560300301816176,7,0,154,19,0.269230769230769,1,0,0.730769230769231
"9",-0.557478007299927,8,0,154,18,0.307692307692308,1,0,0.692307692307692
"10",-0.556560594017306,9,0,154,17,0.346153846153846,1,0,0.653846153846154
"11",-0.555365189477719,9,1,153,17,0.346153846153846,0.993506493506494,0.00649350649350644,0.653846153846154
"12",-0.555316917951897,9,2,152,17,0.346153846153846,0.987012987012987,0.012987012987013,0.653846153846154
"13",-0.55479950710162,10,2,152,16,0.384615384615385,0.987012987012987,0.012987012987013,0.615384615384615
"14",-0.553894884758482,11,2,152,15,0.423076923076923,0.987012987012987,0.012987012987013,0.576923076923077
"15",-0.553604098152484,12,2,152,14,0.461538461538462,0.987012987012987,0.012987012987013,0.538461538461538
"16",-0.552650167351124,13,2,152,13,0.5,0.987012987012987,0.012987012987013,0.5
"17",-0.55229401383755,13,3,151,13,0.5,0.980519480519481,0.0194805194805194,0.5
"18",-0.552052339502061,14,3,151,12,0.538461538461538,0.980519480519481,0.0194805194805194,0.461538461538462
"19",-0.550826058768943,14,4,150,12,0.538461538461538,0.974025974025974,0.025974025974026,0.461538461538462
"20",-0.550594001533819,14,5,149,12,0.538461538461538,0.967532467532468,0.0324675324675324,0.461538461538462
"21",-0.548857097831047,14,6,148,12,0.538461538461538,0.961038961038961,0.038961038961039,0.461538461538462
"22",-0.548855381180477,14,7,147,12,0.538461538461538,0.954545454545455,0.0454545454545454,0.461538461538462
"23",-0.548529313179642,14,8,146,12,0.538461538461538,0.948051948051948,0.051948051948052,0.461538461538462
"24",-0.548406287962107,14,9,145,12,0.538461538461538,0.941558441558442,0.0584415584415584,0.461538461538462
"25",-0.548323338836664,14,10,144,12,0.538461538461538,0.935064935064935,0.064935064935065,0.461538461538462
"26",-0.548036225587102,15,10,144,11,0.576923076923077,0.935064935064935,0.064935064935065,0.423076923076923
"27",-0.547741056673471,15,11,143,11,0.576923076923077,0.928571428571429,0.0714285714285714,0.423076923076923
"28",-0.547679963998606,15,12,142,11,0.576923076923077,0.922077922077922,0.0779220779220779,0.423076923076923
"29",-0.547216984538108,15,13,141,11,0.576923076923077,0.915584415584416,0.0844155844155844,0.423076923076923
"30",-0.545925495668532,15,14,140,11,0.576923076923077,0.909090909090909,0.0909090909090909,0.423076923076923
"31",-0.545672900473549,15,15,139,11,0.576923076923077,0.902597402597403,0.0974025974025974,0.423076923076923
"32",-0.545128630588677,15,16,138,11,0.576923076923077,0.896103896103896,0.103896103896104,0.423076923076923
"33",-0.544789507463475,15,17,137,11,0.576923076923077,0.88961038961039,0.11038961038961,0.423076923076923
"34",-0.544601344541913,15,18,136,11,0.576923076923077,0.883116883116883,0.116883116883117,0.423076923076923
"35",-0.543142181834068,15,19,135,11,0.576923076923077,0.876623376623377,0.123376623376623,0.423076923076923
"36",-0.542220771162531,15,20,134,11,0.576923076923077,0.87012987012987,0.12987012987013,0.423076923076923
"37",-0.541719276170532,15,21,133,11,0.576923076923077,0.863636363636364,0.136363636363636,0.423076923076923
"38",-0.540348628494193,15,22,132,11,0.576923076923077,0.857142857142857,0.142857142857143,0.423076923076923
"39",-0.53970915682477,15,23,131,11,0.576923076923077,0.850649350649351,0.149350649350649,0.423076923076923
"40",-0.539660865979739,15,24,130,11,0.576923076923077,0.844155844155844,0.155844155844156,0.423076923076923
"41",-0.539143322333496,15,25,129,11,0.576923076923077,0.837662337662338,0.162337662337662,0.423076923076923
"42",-0.538976341382608,15,26,128,11,0.576923076923077,0.831168831168831,0.168831168831169,0.423076923076923
"43",-0.538385819311626,15,27,127,11,0.576923076923077,0.824675324675325,0.175324675324675,0.423076923076923
"44",-0.53820053564402,15,28,126,11,0.576923076923077,0.818181818181818,0.181818181818182,0.423076923076923
"45",-0.538116104578262,15,29,125,11,0.576923076923077,0.811688311688312,0.188311688311688,0.423076923076923
"46",-0.537318963921297,15,30,124,11,0.576923076923077,0.805194805194805,0.194805194805195,0.423076923076923
"47",-0.536767516013684,15,31,123,11,0.576923076923077,0.798701298701299,0.201298701298701,0.423076923076923
"48",-0.536569753446618,15,32,122,11,0.576923076923077,0.792207792207792,0.207792207792208,0.423076923076923
"49",-0.536385517304885,15,33,121,11,0.576923076923077,0.785714285714286,0.214285714285714,0.423076923076923
"50",-0.536118269379819,15,34,120,11,0.576923076923077,0.779220779220779,0.220779220779221,0.423076923076923
"51",-0.536007403292285,15,35,119,11,0.576923076923077,0.772727272727273,0.227272727272727,0.423076923076923
"52",-0.535662592969599,15,36,118,11,0.576923076923077,0.766233766233766,0.233766233766234,0.423076923076923
"53",-0.53533455503021,15,37,117,11,0.576923076923077,0.75974025974026,0.24025974025974,0.423076923076923
"54",-0.534916929139042,15,38,116,11,0.576923076923077,0.753246753246753,0.246753246753247,0.423076923076923
"55",-0.534681496338894,15,39,115,11,0.576923076923077,0.746753246753247,0.253246753246753,0.423076923076923
"56",-0.534525679601569,15,40,114,11,0.576923076923077,0.74025974025974,0.25974025974026,0.423076923076923
"57",-0.534182788702203,16,40,114,10,0.615384615384615,0.74025974025974,0.25974025974026,0.384615384615385
"58",-0.533849648271291,17,40,114,9,0.653846153846154,0.74025974025974,0.25974025974026,0.346153846153846
"59",-0.533740832791382,18,40,114,8,0.692307692307692,0.74025974025974,0.25974025974026,0.307692307692308
"60",-0.533690975438168,18,41,113,8,0.692307692307692,0.733766233766234,0.266233766233766,0.307692307692308
"61",-0.533553869214283,18,42,112,8,0.692307692307692,0.727272727272727,0.272727272727273,0.307692307692308
"62",-0.533133619659482,18,43,111,8,0.692307692307692,0.720779220779221,0.279220779220779,0.307692307692308
"63",-0.532837119373887,18,44,110,8,0.692307692307692,0.714285714285714,0.285714285714286,0.307692307692308
"64",-0.532675019043213,18,45,109,8,0.692307692307692,0.707792207792208,0.292207792207792,0.307692307692308
"65",-0.532357351500221,18,46,108,8,0.692307692307692,0.701298701298701,0.298701298701299,0.307692307692308
"66",-0.532159525427592,18,47,107,8,0.692307692307692,0.694805194805195,0.305194805194805,0.307692307692308
"67",-0.531909235756717,19,47,107,7,0.730769230769231,0.694805194805195,0.305194805194805,0.269230769230769
"68",-0.531488368059708,19,48,106,7,0.730769230769231,0.688311688311688,0.311688311688312,0.269230769230769
"69",-0.531448020011799,19,49,105,7,0.730769230769231,0.681818181818182,0.318181818181818,0.269230769230769
"70",-0.531412098774821,20,49,105,6,0.769230769230769,0.681818181818182,0.318181818181818,0.230769230769231
"71",-0.531304566200641,20,50,104,6,0.769230769230769,0.675324675324675,0.324675324675325,0.230769230769231
"72",-0.531269721681696,20,51,103,6,0.769230769230769,0.668831168831169,0.331168831168831,0.230769230769231
"73",-0.531227437138389,20,52,102,6,0.769230769230769,0.662337662337662,0.337662337662338,0.230769230769231
"74",-0.531106476608917,20,53,101,6,0.769230769230769,0.655844155844156,0.344155844155844,0.230769230769231
"75",-0.53108332948375,20,54,100,6,0.769230769230769,0.649350649350649,0.350649350649351,0.230769230769231
"76",-0.531033551828758,21,54,100,5,0.807692307692308,0.649350649350649,0.350649350649351,0.192307692307692
"77",-0.530866522703453,21,55,99,5,0.807692307692308,0.642857142857143,0.357142857142857,0.192307692307692
"78",-0.530830359220943,22,55,99,4,0.846153846153846,0.642857142857143,0.357142857142857,0.153846153846154
"79",-0.529705224115924,23,55,99,3,0.884615384615385,0.642857142857143,0.357142857142857,0.115384615384615
"80",-0.529323982959501,23,56,98,3,0.884615384615385,0.636363636363636,0.363636363636364,0.115384615384615
"81",-0.529313545592234,23,57,97,3,0.884615384615385,0.62987012987013,0.37012987012987,0.115384615384615
"82",-0.528713728159777,23,58,96,3,0.884615384615385,0.623376623376623,0.376623376623377,0.115384615384615
"83",-0.528712276195793,23,59,95,3,0.884615384615385,0.616883116883117,0.383116883116883,0.115384615384615
"84",-0.528532715594324,23,60,94,3,0.884615384615385,0.61038961038961,0.38961038961039,0.115384615384615
"85",-0.528523817480034,23,61,93,3,0.884615384615385,0.603896103896104,0.396103896103896,0.115384615384615
"86",-0.528317312472411,23,62,92,3,0.884615384615385,0.597402597402597,0.402597402597403,0.115384615384615
"87",-0.528306651756417,23,63,91,3,0.884615384615385,0.590909090909091,0.409090909090909,0.115384615384615
"88",-0.528267662458854,23,64,90,3,0.884615384615385,0.584415584415584,0.415584415584416,0.115384615384615
"89",-0.528188359687821,24,64,90,2,0.923076923076923,0.584415584415584,0.415584415584416,0.0769230769230769
"90",-0.527796501132158,24,65,89,2,0.923076923076923,0.577922077922078,0.422077922077922,0.0769230769230769
"91",-0.527765269539746,24,66,88,2,0.923076923076923,0.571428571428571,0.428571428571429,0.0769230769230769
"92",-0.527754597690348,24,67,87,2,0.923076923076923,0.564935064935065,0.435064935064935,0.0769230769230769
"93",-0.527720871380072,24,68,86,2,0.923076923076923,0.558441558441558,0.441558441558442,0.0769230769230769
"94",-0.52713825924079,24,69,85,2,0.923076923076923,0.551948051948052,0.448051948051948,0.0769230769230769
